Model,R² Score,RMSE,MAE,MAPE
Random Forest,0.9637122690609662,377.8725511346876,220.37702292304536,0.8876704385356367
XGBoost (Tuned),0.9787003397941589,289.5021667480469,175.98141479492188,0.5898252129554749
LightGBM (Tuned),0.9782077472681471,292.8306306222405,180.0050821413043,0.5111360430454915
Ensemble (55% LGB + 45% XGB),0.9788814237136422,288.26887796892083,175.73006503552915,0.5415915898364836
